Time Period,2025Q1,2025Q2,2025Q3
Spot,2.14%,2.25%,2.36%
1 week,3.16%,3.33%,3.5%
2 weeks,3.59%,3.78%,3.97%
3 weeks,3.91%,4.12%,4.33%
1 months,4.28%,4.5%,4.73%
2 months,5.16%,5.43%,5.71%
3 months,5.84%,6.15%,6.46%
4 months,6.42%,6.75%,7.09%
5 months,6.92%,7.28%,7.65%
6 months,7.38%,7.77%,8.15%
7 months,7.8%,8.21%,8.62%
8 months,8.19%,8.62%,9.05%
9 months,8.55%,9%,9.46%
10 months,8.9%,9.37%,9.84%
11 months,9.23%,9.72%,10.2%
12 months,9.55%,10.05%,10.55%
13 months,9.85%,10.37%,10.89%
14 months,10.14%,10.67%,11.21%
15 months,10.42%,10.97%,11.52%
16 months,10.69%,11.26%,11.82%
17 months,10.96%,11.53%,12.11%
18 months,11.21%,11.8%,12.39%
19 months,11.46%,12.06%,12.67%
20 months,11.7%,12.32%,12.94%
21 months,11.94%,12.57%,13.2%
22 months,12.17%,12.81%,13.45%
23 months,12.4%,13.05%,13.7%
24 months,12.62%,13.28%,13.94%
25 months,12.83%,13.51%,14.18%
26 months,13.04%,13.73%,14.42%
27 months,13.25%,13.95%,14.65%
28 months,13.46%,14.16%,14.87%
29 months,13.66%,14.38%,15.09%
30 months,13.85%,14.58%,15.31%
31 months,14.05%,14.79%,15.53%
32 months,14.24%,14.99%,15.74%
33 months,14.43%,15.18%,15.94%
34 months,14.61%,15.38%,16.15%
35 months,14.79%,15.57%,16.35%
36 months,14.97%,15.76%,16.55%
37 months,15.15%,15.95%,16.74%
38 months,15.32%,16.13%,16.94%
39 months,15.5%,16.31%,17.13%
40 months,15.67%,16.49%,17.32%
41 months,15.83%,16.67%,17.5%
42 months,16%,16.84%,17.68%
43 months,16.16%,17.02%,17.87%
44 months,16.33%,17.19%,18.05%
45 months,16.49%,17.35%,18.22%
46 months,16.65%,17.52%,18.4%
47 months,16.8%,17.69%,18.57%
48 months,16.96%,17.85%,18.74%
49 months,17.11%,18.01%,18.91%
50 months,17.26%,18.17%,19.08%
51 months,17.41%,18.33%,19.25%
52 months,17.56%,18.49%,19.41%
53 months,17.71%,18.64%,19.57%
54 months,17.86%,18.8%,19.74%
55 months,18%,18.95%,19.9%
56 months,18.14%,19.1%,20.05%
57 months,18.29%,19.25%,20.21%
58 months,18.43%,19.4%,20.37%
59 months,18.57%,19.55%,20.52%
60 months,18.71%,19.69%,20.68%
6 years,20.29%,21.36%,22.42%
7 years,21.74%,22.89%,24.03%
8 years,23.1%,24.31%,25.53%
9 years,24.37%,25.65%,26.93%
10 years,25.57%,26.92%,28.26%
11 years,26.71%,28.12%,29.53%
12 years,27.81%,29.27%,30.73%
13 years,28.85%,30.37%,31.89%
14 years,29.86%,31.43%,33.01%
15 years,30.84%,32.46%,34.08%
16 years,31.78%,33.45%,35.12%
17 years,32.69%,34.41%,36.13%
18 years,33.58%,35.34%,37.11%
19 years,34.44%,36.25%,38.06%
20 years,35.28%,37.13%,38.99%
21 years,36.09%,37.99%,39.89%
22 years,36.89%,38.84%,40.78%
23 years,37.67%,39.66%,41.64%
24 years,38.44%,40.46%,42.49%
25 years,39.19%,41.25%,43.31%
26 years,39.92%,42.02%,44.12%
27 years,40.64%,42.78%,44.92%
28 years,41.35%,43.52%,45.7%
29 years,42.04%,44.25%,46.47%
30 years,42.72%,44.97%,47.22%
