Time Period,2025Q1,2025Q2,2025Q3
Spot,2.56%,2.7%,2.84%
1 week,3.8%,4%,4.2%
2 weeks,4.31%,4.53%,4.76%
3 weeks,4.7%,4.95%,5.19%
1 months,5.13%,5.4%,5.67%
2 months,6.2%,6.52%,6.85%
3 months,7.01%,7.38%,7.75%
4 months,7.7%,8.1%,8.51%
5 months,8.3%,8.74%,9.18%
6 months,8.85%,9.32%,9.78%
7 months,9.36%,9.85%,10.34%
8 months,9.83%,10.34%,10.86%
9 months,10.27%,10.81%,11.35%
10 months,10.68%,11.24%,11.81%
11 months,11.08%,11.66%,12.24%
12 months,11.46%,12.06%,12.66%
13 months,11.82%,12.44%,13.06%
14 months,12.17%,12.81%,13.45%
15 months,12.51%,13.16%,13.82%
16 months,12.83%,13.51%,14.18%
17 months,13.15%,13.84%,14.53%
18 months,13.46%,14.16%,14.87%
19 months,13.75%,14.48%,15.2%
20 months,14.04%,14.78%,15.52%
21 months,14.33%,15.08%,15.84%
22 months,14.6%,15.37%,16.14%
23 months,14.88%,15.66%,16.44%
24 months,15.14%,15.94%,16.73%
25 months,15.4%,16.21%,17.02%
26 months,15.65%,16.48%,17.3%
27 months,15.9%,16.74%,17.58%
28 months,16.15%,17%,17.85%
29 months,16.39%,17.25%,18.11%
30 months,16.62%,17.5%,18.37%
31 months,16.86%,17.74%,18.63%
32 months,17.09%,17.98%,18.88%
33 months,17.31%,18.22%,19.13%
34 months,17.53%,18.46%,19.38%
35 months,17.75%,18.69%,19.62%
36 months,17.97%,18.91%,19.86%
37 months,18.18%,19.14%,20.09%
38 months,18.39%,19.36%,20.32%
39 months,18.6%,19.57%,20.55%
40 months,18.8%,19.79%,20.78%
41 months,19%,20%,21%
42 months,19.2%,20.21%,21.22%
43 months,19.4%,20.42%,21.44%
44 months,19.59%,20.62%,21.65%
45 months,19.78%,20.83%,21.87%
46 months,19.97%,21.03%,22.08%
47 months,20.16%,21.22%,22.29%
48 months,20.35%,21.42%,22.49%
49 months,20.53%,21.61%,22.69%
50 months,20.72%,21.81%,22.9%
51 months,20.9%,22%,23.1%
52 months,21.08%,22.18%,23.29%
53 months,21.25%,22.37%,23.49%
54 months,21.43%,22.56%,23.68%
55 months,21.6%,22.74%,23.88%
56 months,21.77%,22.92%,24.07%
57 months,21.94%,23.1%,24.25%
58 months,22.11%,23.28%,24.44%
59 months,22.28%,23.45%,24.63%
60 months,22.45%,23.63%,24.81%
6 years,24.35%,25.63%,26.91%
7 years,26.09%,27.46%,28.84%
8 years,27.72%,29.17%,30.63%
9 years,29.24%,30.78%,32.32%
10 years,30.68%,32.3%,33.91%
11 years,32.06%,33.74%,35.43%
12 years,33.37%,35.12%,36.88%
13 years,34.63%,36.45%,38.27%
14 years,35.84%,37.72%,39.61%
15 years,37%,38.95%,40.9%
16 years,38.13%,40.14%,42.15%
17 years,39.23%,41.29%,43.36%
18 years,40.29%,42.41%,44.53%
19 years,41.32%,43.5%,45.67%
20 years,42.33%,44.56%,46.79%
21 years,43.31%,45.59%,47.87%
22 years,44.27%,46.6%,48.93%
23 years,45.21%,47.59%,49.97%
24 years,46.13%,48.55%,50.98%
25 years,47.02%,49.5%,51.98%
26 years,47.91%,50.43%,52.95%
27 years,48.77%,51.34%,53.9%
28 years,49.62%,52.23%,54.84%
29 years,50.45%,53.11%,55.76%
30 years,51.27%,53.97%,56.67%
