Time Period,2025Q1,2025Q2,2025Q3
Spot,0.85%,0.9%,0.95%
1 week,1.27%,1.33%,1.4%
2 weeks,1.44%,1.51%,1.59%
3 weeks,1.57%,1.65%,1.73%
1 months,1.71%,1.8%,1.89%
2 months,2.07%,2.17%,2.28%
3 months,2.34%,2.46%,2.58%
4 months,2.57%,2.7%,2.84%
5 months,2.77%,2.91%,3.06%
6 months,2.95%,3.11%,3.26%
7 months,3.12%,3.28%,3.45%
8 months,3.28%,3.45%,3.62%
9 months,3.42%,3.6%,3.78%
10 months,3.56%,3.75%,3.94%
11 months,3.69%,3.89%,4.08%
12 months,3.82%,4.02%,4.22%
13 months,3.94%,4.15%,4.35%
14 months,4.06%,4.27%,4.48%
15 months,4.17%,4.39%,4.61%
16 months,4.28%,4.5%,4.73%
17 months,4.38%,4.61%,4.84%
18 months,4.49%,4.72%,4.96%
19 months,4.58%,4.83%,5.07%
20 months,4.68%,4.93%,5.17%
21 months,4.78%,5.03%,5.28%
22 months,4.87%,5.12%,5.38%
23 months,4.96%,5.22%,5.48%
24 months,5.05%,5.31%,5.58%
25 months,5.13%,5.4%,5.67%
26 months,5.22%,5.49%,5.77%
27 months,5.3%,5.58%,5.86%
28 months,5.38%,5.67%,5.95%
29 months,5.46%,5.75%,6.04%
30 months,5.54%,5.83%,6.12%
31 months,5.62%,5.91%,6.21%
32 months,5.7%,5.99%,6.29%
33 months,5.77%,6.07%,6.38%
34 months,5.84%,6.15%,6.46%
35 months,5.92%,6.23%,6.54%
36 months,5.99%,6.3%,6.62%
37 months,6.06%,6.38%,6.7%
38 months,6.13%,6.45%,6.77%
39 months,6.2%,6.52%,6.85%
40 months,6.27%,6.6%,6.93%
41 months,6.33%,6.67%,7%
42 months,6.4%,6.74%,7.07%
43 months,6.47%,6.81%,7.15%
44 months,6.53%,6.87%,7.22%
45 months,6.59%,6.94%,7.29%
46 months,6.66%,7.01%,7.36%
47 months,6.72%,7.07%,7.43%
48 months,6.78%,7.14%,7.5%
49 months,6.84%,7.2%,7.56%
50 months,6.91%,7.27%,7.63%
51 months,6.97%,7.33%,7.7%
52 months,7.03%,7.39%,7.76%
53 months,7.08%,7.46%,7.83%
54 months,7.14%,7.52%,7.89%
55 months,7.2%,7.58%,7.96%
56 months,7.26%,7.64%,8.02%
57 months,7.31%,7.7%,8.08%
58 months,7.37%,7.76%,8.15%
59 months,7.43%,7.82%,8.21%
60 months,7.48%,7.88%,8.27%
6 years,8.12%,8.54%,8.97%
7 years,8.7%,9.15%,9.61%
8 years,9.24%,9.72%,10.21%
9 years,9.75%,10.26%,10.77%
10 years,10.23%,10.77%,11.3%
11 years,10.69%,11.25%,11.81%
12 years,11.12%,11.71%,12.29%
13 years,11.54%,12.15%,12.76%
14 years,11.95%,12.57%,13.2%
15 years,12.33%,12.98%,13.63%
16 years,12.71%,13.38%,14.05%
17 years,13.08%,13.76%,14.45%
18 years,13.43%,14.14%,14.84%
19 years,13.77%,14.5%,15.22%
20 years,14.11%,14.85%,15.6%
21 years,14.44%,15.2%,15.96%
22 years,14.76%,15.53%,16.31%
23 years,15.07%,15.86%,16.66%
24 years,15.38%,16.18%,16.99%
25 years,15.67%,16.5%,17.32%
26 years,15.97%,16.81%,17.65%
27 years,16.26%,17.11%,17.97%
28 years,16.54%,17.41%,18.28%
29 years,16.82%,17.7%,18.59%
30 years,17.09%,17.99%,18.89%
