Time Period,2025Q1,2025Q2,2025Q3
Spot,1.88%,1.98%,2.08%
1 week,2.78%,2.93%,3.08%
2 weeks,3.16%,3.32%,3.49%
3 weeks,3.45%,3.63%,3.81%
1 months,3.76%,3.96%,4.16%
2 months,4.54%,4.78%,5.02%
3 months,5.14%,5.41%,5.68%
4 months,5.65%,5.94%,6.24%
5 months,6.09%,6.41%,6.73%
6 months,6.49%,6.83%,7.18%
7 months,6.86%,7.22%,7.58%
8 months,7.21%,7.58%,7.96%
9 months,7.53%,7.92%,8.32%
10 months,7.83%,8.25%,8.66%
11 months,8.12%,8.55%,8.98%
12 months,8.4%,8.84%,9.29%
13 months,8.67%,9.12%,9.58%
14 months,8.92%,9.39%,9.86%
15 months,9.17%,9.65%,10.14%
16 months,9.41%,9.91%,10.4%
17 months,9.64%,10.15%,10.66%
18 months,9.87%,10.39%,10.91%
19 months,10.09%,10.62%,11.15%
20 months,10.3%,10.84%,11.38%
21 months,10.51%,11.06%,11.61%
22 months,10.71%,11.27%,11.84%
23 months,10.91%,11.48%,12.06%
24 months,11.1%,11.69%,12.27%
25 months,11.29%,11.89%,12.48%
26 months,11.48%,12.08%,12.69%
27 months,11.66%,12.28%,12.89%
28 months,11.84%,12.46%,13.09%
29 months,12.02%,12.65%,13.28%
30 months,12.19%,12.83%,13.47%
31 months,12.36%,13.01%,13.66%
32 months,12.53%,13.19%,13.85%
33 months,12.69%,13.36%,14.03%
34 months,12.86%,13.53%,14.21%
35 months,13.02%,13.7%,14.39%
36 months,13.18%,13.87%,14.56%
37 months,13.33%,14.03%,14.73%
38 months,13.48%,14.19%,14.9%
39 months,13.64%,14.35%,15.07%
40 months,13.79%,14.51%,15.24%
41 months,13.93%,14.67%,15.4%
42 months,14.08%,14.82%,15.56%
43 months,14.22%,14.97%,15.72%
44 months,14.37%,15.12%,15.88%
45 months,14.51%,15.27%,16.04%
46 months,14.65%,15.42%,16.19%
47 months,14.79%,15.56%,16.34%
48 months,14.92%,15.71%,16.49%
49 months,15.06%,15.85%,16.64%
50 months,15.19%,15.99%,16.79%
51 months,15.32%,16.13%,16.94%
52 months,15.46%,16.27%,17.08%
53 months,15.59%,16.41%,17.23%
54 months,15.71%,16.54%,17.37%
55 months,15.84%,16.67%,17.51%
56 months,15.97%,16.81%,17.65%
57 months,16.09%,16.94%,17.79%
58 months,16.22%,17.07%,17.92%
59 months,16.34%,17.2%,18.06%
60 months,16.46%,17.33%,18.19%
6 years,17.85%,18.79%,19.73%
7 years,19.13%,20.14%,21.15%
8 years,20.32%,21.39%,22.46%
9 years,21.44%,22.57%,23.7%
10 years,22.5%,23.69%,24.87%
11 years,23.51%,24.75%,25.98%
12 years,24.47%,25.76%,27.05%
13 years,25.39%,26.73%,28.06%
14 years,26.28%,27.66%,29.05%
15 years,27.14%,28.56%,29.99%
16 years,27.96%,29.44%,30.91%
17 years,28.77%,30.28%,31.8%
18 years,29.55%,31.1%,32.66%
19 years,30.3%,31.9%,33.49%
20 years,31.04%,32.68%,34.31%
21 years,31.76%,33.43%,35.11%
22 years,32.47%,34.18%,35.88%
23 years,33.15%,34.9%,36.64%
24 years,33.83%,35.61%,37.39%
25 years,34.48%,36.3%,38.12%
26 years,35.13%,36.98%,38.83%
27 years,35.76%,37.65%,39.53%
28 years,36.39%,38.3%,40.22%
29 years,37%,38.94%,40.89%
30 years,37.6%,39.58%,41.55%
