Time Period,2025Q1,2025Q2,2025Q3
Spot,1.28%,1.35%,1.42%
1 week,1.9%,2%,2.1%
2 weeks,2.15%,2.27%,2.38%
3 weeks,2.35%,2.47%,2.6%
1 months,2.57%,2.7%,2.84%
2 months,3.1%,3.26%,3.42%
3 months,3.51%,3.69%,3.87%
4 months,3.85%,4.05%,4.25%
5 months,4.15%,4.37%,4.59%
6 months,4.43%,4.66%,4.89%
7 months,4.68%,4.92%,5.17%
8 months,4.91%,5.17%,5.43%
9 months,5.13%,5.4%,5.67%
10 months,5.34%,5.62%,5.9%
11 months,5.54%,5.83%,6.12%
12 months,5.73%,6.03%,6.33%
13 months,5.91%,6.22%,6.53%
14 months,6.08%,6.4%,6.73%
15 months,6.25%,6.58%,6.91%
16 months,6.42%,6.75%,7.09%
17 months,6.57%,6.92%,7.27%
18 months,6.73%,7.08%,7.44%
19 months,6.88%,7.24%,7.6%
20 months,7.02%,7.39%,7.76%
21 months,7.16%,7.54%,7.92%
22 months,7.3%,7.69%,8.07%
23 months,7.44%,7.83%,8.22%
24 months,7.57%,7.97%,8.37%
25 months,7.7%,8.1%,8.51%
26 months,7.83%,8.24%,8.65%
27 months,7.95%,8.37%,8.79%
28 months,8.07%,8.5%,8.92%
29 months,8.19%,8.63%,9.06%
30 months,8.31%,8.75%,9.19%
31 months,8.43%,8.87%,9.32%
32 months,8.54%,8.99%,9.44%
33 months,8.66%,9.11%,9.57%
34 months,8.77%,9.23%,9.69%
35 months,8.88%,9.34%,9.81%
36 months,8.98%,9.46%,9.93%
37 months,9.09%,9.57%,10.05%
38 months,9.19%,9.68%,10.16%
39 months,9.3%,9.79%,10.28%
40 months,9.4%,9.89%,10.39%
41 months,9.5%,10%,10.5%
42 months,9.6%,10.11%,10.61%
43 months,9.7%,10.21%,10.72%
44 months,9.8%,10.31%,10.83%
45 months,9.89%,10.41%,10.93%
46 months,9.99%,10.51%,11.04%
47 months,10.08%,10.61%,11.14%
48 months,10.17%,10.71%,11.25%
49 months,10.27%,10.81%,11.35%
50 months,10.36%,10.9%,11.45%
51 months,10.45%,11%,11.55%
52 months,10.54%,11.09%,11.65%
53 months,10.63%,11.19%,11.74%
54 months,10.71%,11.28%,11.84%
55 months,10.8%,11.37%,11.94%
56 months,10.89%,11.46%,12.03%
57 months,10.97%,11.55%,12.13%
58 months,11.06%,11.64%,12.22%
59 months,11.14%,11.73%,12.31%
60 months,11.22%,11.81%,12.41%
6 years,12.17%,12.81%,13.45%
7 years,13.05%,13.73%,14.42%
8 years,13.86%,14.59%,15.32%
9 years,14.62%,15.39%,16.16%
10 years,15.34%,16.15%,16.96%
11 years,16.03%,16.87%,17.72%
12 years,16.68%,17.56%,18.44%
13 years,17.31%,18.22%,19.14%
14 years,17.92%,18.86%,19.8%
15 years,18.5%,19.48%,20.45%
16 years,19.07%,20.07%,21.07%
17 years,19.61%,20.65%,21.68%
18 years,20.15%,21.21%,22.27%
19 years,20.66%,21.75%,22.84%
20 years,21.17%,22.28%,23.39%
21 years,21.66%,22.8%,23.94%
22 years,22.14%,23.3%,24.47%
23 years,22.6%,23.79%,24.98%
24 years,23.06%,24.28%,25.49%
25 years,23.51%,24.75%,25.99%
26 years,23.95%,25.21%,26.47%
27 years,24.38%,25.67%,26.95%
28 years,24.81%,26.11%,27.42%
29 years,25.22%,26.55%,27.88%
30 years,25.63%,26.98%,28.33%
