Time Period,2025Q1,2025Q2,2025Q3
Spot,1.54%,1.62%,1.7%
1 week,2.28%,2.4%,2.52%
2 weeks,2.58%,2.72%,2.86%
3 weeks,2.82%,2.97%,3.12%
1 months,3.08%,3.24%,3.4%
2 months,3.72%,3.91%,4.11%
3 months,4.21%,4.43%,4.65%
4 months,4.62%,4.86%,5.11%
5 months,4.98%,5.25%,5.51%
6 months,5.31%,5.59%,5.87%
7 months,5.61%,5.91%,6.2%
8 months,5.9%,6.21%,6.52%
9 months,6.16%,6.48%,6.81%
10 months,6.41%,6.75%,7.08%
11 months,6.65%,7%,7.35%
12 months,6.87%,7.24%,7.6%
13 months,7.09%,7.47%,7.84%
14 months,7.3%,7.69%,8.07%
15 months,7.5%,7.9%,8.29%
16 months,7.7%,8.1%,8.51%
17 months,7.89%,8.3%,8.72%
18 months,8.07%,8.5%,8.92%
19 months,8.25%,8.69%,9.12%
20 months,8.43%,8.87%,9.31%
21 months,8.6%,9.05%,9.5%
22 months,8.76%,9.22%,9.69%
23 months,8.93%,9.39%,9.86%
24 months,9.08%,9.56%,10.04%
25 months,9.24%,9.73%,10.21%
26 months,9.39%,9.89%,10.38%
27 months,9.54%,10.04%,10.55%
28 months,9.69%,10.2%,10.71%
29 months,9.83%,10.35%,10.87%
30 months,9.97%,10.5%,11.02%
31 months,10.11%,10.65%,11.18%
32 months,10.25%,10.79%,11.33%
33 months,10.39%,10.93%,11.48%
34 months,10.52%,11.07%,11.63%
35 months,10.65%,11.21%,11.77%
36 months,10.78%,11.35%,11.91%
37 months,10.91%,11.48%,12.06%
38 months,11.03%,11.61%,12.19%
39 months,11.16%,11.74%,12.33%
40 months,11.28%,11.87%,12.47%
41 months,11.4%,12%,12.6%
42 months,11.52%,12.13%,12.73%
43 months,11.64%,12.25%,12.86%
44 months,11.76%,12.37%,12.99%
45 months,11.87%,12.5%,13.12%
46 months,11.98%,12.62%,13.25%
47 months,12.1%,12.73%,13.37%
48 months,12.21%,12.85%,13.49%
49 months,12.32%,12.97%,13.62%
50 months,12.43%,13.08%,13.74%
51 months,12.54%,13.2%,13.86%
52 months,12.65%,13.31%,13.98%
53 months,12.75%,13.42%,14.09%
54 months,12.86%,13.53%,14.21%
55 months,12.96%,13.64%,14.33%
56 months,13.06%,13.75%,14.44%
57 months,13.17%,13.86%,14.55%
58 months,13.27%,13.97%,14.67%
59 months,13.37%,14.07%,14.78%
60 months,13.47%,14.18%,14.89%
6 years,14.61%,15.38%,16.15%
7 years,15.65%,16.48%,17.3%
8 years,16.63%,17.5%,18.38%
9 years,17.54%,18.47%,19.39%
10 years,18.41%,19.38%,20.35%
11 years,19.23%,20.25%,21.26%
12 years,20.02%,21.07%,22.13%
13 years,20.78%,21.87%,22.96%
14 years,21.5%,22.63%,23.76%
15 years,22.2%,23.37%,24.54%
16 years,22.88%,24.08%,25.29%
17 years,23.54%,24.78%,26.01%
18 years,24.17%,25.45%,26.72%
19 years,24.79%,26.1%,27.4%
20 years,25.4%,26.74%,28.07%
21 years,25.99%,27.36%,28.72%
22 years,26.56%,27.96%,29.36%
23 years,27.13%,28.55%,29.98%
24 years,27.68%,29.13%,30.59%
25 years,28.21%,29.7%,31.19%
26 years,28.74%,30.26%,31.77%
27 years,29.26%,30.8%,32.34%
28 years,29.77%,31.34%,32.9%
29 years,30.27%,31.86%,33.46%
30 years,30.76%,32.38%,34%
