Time Period,2025Q1,2025Q2,2025Q3
Spot,1.03%,1.08%,1.13%
1 week,1.52%,1.6%,1.68%
2 weeks,1.72%,1.81%,1.9%
3 weeks,1.88%,1.98%,2.08%
1 months,2.05%,2.16%,2.27%
2 months,2.48%,2.61%,2.74%
3 months,2.8%,2.95%,3.1%
4 months,3.08%,3.24%,3.4%
5 months,3.32%,3.5%,3.67%
6 months,3.54%,3.73%,3.91%
7 months,3.74%,3.94%,4.14%
8 months,3.93%,4.14%,4.34%
9 months,4.11%,4.32%,4.54%
10 months,4.27%,4.5%,4.72%
11 months,4.43%,4.66%,4.9%
12 months,4.58%,4.82%,5.07%
13 months,4.73%,4.98%,5.23%
14 months,4.87%,5.12%,5.38%
15 months,5%,5.27%,5.53%
16 months,5.13%,5.4%,5.67%
17 months,5.26%,5.54%,5.81%
18 months,5.38%,5.67%,5.95%
19 months,5.5%,5.79%,6.08%
20 months,5.62%,5.91%,6.21%
21 months,5.73%,6.03%,6.33%
22 months,5.84%,6.15%,6.46%
23 months,5.95%,6.26%,6.58%
24 months,6.06%,6.37%,6.69%
25 months,6.16%,6.48%,6.81%
26 months,6.26%,6.59%,6.92%
27 months,6.36%,6.7%,7.03%
28 months,6.46%,6.8%,7.14%
29 months,6.56%,6.9%,7.25%
30 months,6.65%,7%,7.35%
31 months,6.74%,7.1%,7.45%
32 months,6.83%,7.19%,7.55%
33 months,6.92%,7.29%,7.65%
34 months,7.01%,7.38%,7.75%
35 months,7.1%,7.47%,7.85%
36 months,7.19%,7.56%,7.94%
37 months,7.27%,7.65%,8.04%
38 months,7.36%,7.74%,8.13%
39 months,7.44%,7.83%,8.22%
40 months,7.52%,7.92%,8.31%
41 months,7.6%,8%,8.4%
42 months,7.68%,8.08%,8.49%
43 months,7.76%,8.17%,8.58%
44 months,7.84%,8.25%,8.66%
45 months,7.91%,8.33%,8.75%
46 months,7.99%,8.41%,8.83%
47 months,8.07%,8.49%,8.91%
48 months,8.14%,8.57%,9%
49 months,8.21%,8.65%,9.08%
50 months,8.29%,8.72%,9.16%
51 months,8.36%,8.8%,9.24%
52 months,8.43%,8.87%,9.32%
53 months,8.5%,8.95%,9.4%
54 months,8.57%,9.02%,9.47%
55 months,8.64%,9.1%,9.55%
56 months,8.71%,9.17%,9.63%
57 months,8.78%,9.24%,9.7%
58 months,8.85%,9.31%,9.78%
59 months,8.91%,9.38%,9.85%
60 months,8.98%,9.45%,9.92%
6 years,9.74%,10.25%,10.76%
7 years,10.44%,10.99%,11.53%
8 years,11.09%,11.67%,12.25%
9 years,11.7%,12.31%,12.93%
10 years,12.27%,12.92%,13.57%
11 years,12.82%,13.5%,14.17%
12 years,13.35%,14.05%,14.75%
13 years,13.85%,14.58%,15.31%
14 years,14.33%,15.09%,15.84%
15 years,14.8%,15.58%,16.36%
16 years,15.25%,16.06%,16.86%
17 years,15.69%,16.52%,17.34%
18 years,16.12%,16.96%,17.81%
19 years,16.53%,17.4%,18.27%
20 years,16.93%,17.82%,18.71%
21 years,17.33%,18.24%,19.15%
22 years,17.71%,18.64%,19.57%
23 years,18.08%,19.04%,19.99%
24 years,18.45%,19.42%,20.39%
25 years,18.81%,19.8%,20.79%
26 years,19.16%,20.17%,21.18%
27 years,19.51%,20.53%,21.56%
28 years,19.85%,20.89%,21.94%
29 years,20.18%,21.24%,22.3%
30 years,20.51%,21.59%,22.67%
